"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20230303003449A","03-MAR-23","","CA","CALAVERAS CO-MAURY RASMUSSEN FIELD","","","","","","","","","","","","0","1","","","","","","5000","","",""
"20230303007899I","03-MAR-23","CAMARILLO","CA","CAMARILLO","","","","","","","","","","","","0","0","","","","","","","","",""
"20230304001359I","04-MAR-23","KNOXVILLE","TN","MC GHEE TYSON","","","","","","","","","","","","0","0","","","","","","2398","","",""
"20230304001579A","04-MAR-23","LAMPASAS","TX","LAMPASAS","","","","","","","","","","","","0","0","","","","","","","","",""
"20230304001869A","04-MAR-23","KINSTON","NC","KINSTON RGNL JETPORT AT STALLINGS FLD","","","","","","","","","","","","0","0","","","","","","1770","","",""
"20230304002049A","04-MAR-23","THEDFORD","NE","THOMAS COUNTY","","","","","","","","","","","","0","0","","","","","","1950","","",""
"20230305001499I","05-MAR-23","ANGLETON","TX","TEXAS GULF COAST RGNL","","","","","","","","","","","","0","0","","","","","","1521","","",""
"20230305001549I","05-MAR-23","KINSTON","NC","KINSTON RGNL JETPORT AT STALLINGS FLD","","","","","","","","","","","","0","0","","","","","","60","60","18",""
"20230305001729I","05-MAR-23","NEW ORLEANS","LA","LAKEFRONT","","","","","","","","","","","","0","0","","","","","","2752","287","",""
"20230305001809A","05-MAR-23","ANCHORAGE","AK","LAKE HOOD","","","","","","","","","","","","0","0","","","","","","21000","900","",""
"20230305001829A","05-MAR-23","WEST PALM BEACH","FL","PALM BEACH COUNTY PARK","","","","","","","","","","","","2","0","","","","","","712","","",""
"20230305001839I","05-MAR-23","WILMINGTON","NC","WILMINGTON INTL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1015","104","64",""
"20230305002549A","05-MAR-23","BUENA VISTA","CO","CENTRAL COLORADO RGNL","","","","","","","","","","","","0","0","","","","","","8844","181","111",""
"20230305002939I","05-MAR-23","OKLAHOMA CITY","OK","WILL ROGERS WORLD","","","","","","","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230305003349I","05-MAR-23","FORT WAYNE","IN","FORT WAYNE INTL","","","","","","","AIR WISCONSIN AIRLINES CORPORATION","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","10290","","",""
"20230305009489A","05-MAR-23","PERRY","FL","PERRY-FOLEY","","","","","","","","","","","","0","1","","","","","","","","",""
"20230305019889A","05-MAR-23","BLUE RIDGE","GA","BLUE RIDGE SKYPORT","","","","","","","","","","","","1","0","","","","","","152","","",""
"20230305022149A","05-MAR-23","","NY","REPUBLIC","","","","","","","","","","","","1","0","","","","","","","","",""
"20230306001419A","06-MAR-23","PORT O'CONNOR","TX","","","","","","","","","","","","","2","0","","","","","","","","",""
"20230306001619A","06-MAR-23","HOMER","AK","HOMER","","","","","","","","","","","","0","0","","","","","","420","150","10",""
"20230306001799A","06-MAR-23","","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","","","","0","0","","","","","","19000","","",""
"20230306002439A","06-MAR-23","TAYLORSVILLE","KY","","","","","","","","","","","","","0","0","","","","","","36","36","4",""
"20230306003729I","06-MAR-23","CROWN CITY","OH","","","","","","","","","","","","","0","0","","","","","","750","600","15",""
"20230306005169I","06-MAR-23","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","","","","0","0","","","","","","1450","","",""
"20230307001339A","07-MAR-23","KNOXVILLE","TN","KNOXVILLE DOWNTOWN ISLAND","","","","","","","","","","","","0","0","","","","","","1433","","",""
"20230307001342A","07-MAR-23","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","","","","","","","","","","","","2","0","","","","","","25000","","",""
"20230307001679A","07-MAR-23","BULLHEAD","AZ","LAUGHLIN/BULLHEAD INTL","","","","","","","","","","","","0","0","","","","","","11095","3720","15",""
"20230307001732A","07-MAR-23","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","","","","","","","","","PILOT SCHOOLS","","","2","0","","","","","","","","",""
"20230307001789A","07-MAR-23","WILLOWS","CA","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","25000","","",""
"20230307002249I","07-MAR-23","SANFORD","FL","ORLANDO SANFORD INTL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","980","120","230",""
"20230307002512A","07-MAR-23","HILLSBORO","OR","PORTLAND-HILLSBORO","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","91","91","10",""
"20230307003732I","07-MAR-23","HILLSBORO","OR","PORTLAND-HILLSBORO","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20230307005409I","07-MAR-23","ANDERSON","SC","ANDERSON RGNL","","","","","","","","","","","","0","0","","","","","","2400","1700","15",""
"20230307008399A","07-MAR-23","HOMESTEAD","FL","","","","","","","","","","","","","0","1","","","","","","","","",""
"20230308004759I","08-MAR-23","GRAND CANYON","AZ","GRAND CANYON NATIONAL PARK","","","","","","","","","","","","0","0","","","","","","1120","","",""
"20230309001299A","09-MAR-23","TITUSVILLE","FL","","","","","","","","","","","","","0","0","","","","","","7176","75","10",""
"20230309001669A","09-MAR-23","VAN NUYS","CA","VAN NUYS","","","","","","","","","","","","0","0","","","","","","46","46","34",""
"20230309001979I","09-MAR-23","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","","","","","","","","","","","","0","0","","","","","","2304","","",""
"20230309007249A","09-MAR-23","BISMARCK","ND","BISMARCK MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230309008109A","09-MAR-23","FRANKLIN","NC","","","","","","","","","","","","","0","4","","","","","","4732","1867","105",""
"20230309014329I","09-MAR-23","FULLERTON","CA","FULLERTON MUNI","","","","","","","","","","","","0","0","","","","","","1690","","",""
"20230310002389A","10-MAR-23","LA VETA","CO","CUCHARA VALLEY AT LA VETA","","","","","","","","","","","","0","2","","","","","","","","",""
"20230310002809I","10-MAR-23","FORT WORTH","TX","FORT WORTH MEACHAM INTL","","","","","","","","","","","","0","0","","","","","","6000","","",""
"20230310002819A","10-MAR-23","DE KALB","TX","","","","","","","","","","","","","0","2","","","","","","1989","","",""
"20230310004489I","10-MAR-23","","","NEW BEDFORD RGNL","","","","","","","","","","","","0","0","","","","","","","","13",""
"20230310005262A","10-MAR-23","GRANDBURY","TX","PECAN PLANTATION","","","","","","","","","","","","0","0","","","","","","285","9","11",""
"20230311001779A","11-MAR-23","STRAWBERRY","UT","","","","","","","","","","","","","0","2","","","","","","560","60","5",""
"20230311003189A","11-MAR-23","SUMMERLAND KEY","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230311003749A","11-MAR-23","BRIGHAM CITY","UT","BRIGHAM CITY","","","","","","","","","","","","0","0","","","","","","505","14","9",""
"20230311004209I","11-MAR-23","SAN FRANCISCO","CA","SAN FRANCISCO INTL","","","","","","","","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230311004539A","11-MAR-23","EDEN PRAIRIE","MN","FLYING CLOUD","","","","","","","","","","","","0","2","","","","","","2990","1200","8",""
"20230311010689A","11-MAR-23","LEWISTON","ID","LEWISTON-NEZ PERCE COUNTY","","","","","","","","","","","","0","0","","","","","","4560","1510","110",""
"20230312001329A","12-MAR-23","CHURCH HILL","MD","","","","","","","","","","","","","0","1","","","","","","1381","172","71",""
"20230312002099I","12-MAR-23","MEDFORD","NJ","FLYING W","","","","","","","","","","","","0","0","","","","","","2300","","",""
"20230312002189A","12-MAR-23","SANDY VALLEY","NV","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230312002749I","12-MAR-23","WEST COVINA","CA","","","","","","","","JETBLUE AIRWAYS","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230312003269I","12-MAR-23","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","","","","","","","","","","","","0","0","","","","","","1057","","",""
"20230312003759I","12-MAR-23","","FL","","","","","","","","","","","","","0","0","","","","","","1320","","",""
"20230312007109A","12-MAR-23","CASTROVILLE","CA","","","","","","","","","","","","","0","0","","","","","","18400","","",""
"20230313002119A","13-MAR-23","HOTCHKISS","CO","","","","","","","","","","","","","0","0","","","","","","632","250","4",""
"20230313003769I","13-MAR-23","MADISON","SD","MADISON MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230313006479I","13-MAR-23","GLENWOOD","MN","GLENWOOD MUNI","","","","","","","","","","","","0","0","","","","","","419","32","8",""
"20230314003649A","14-MAR-23","","FL","","","","","","","","","","","","","0","0","","","","","","21764","605","8",""
"20230314005259I","14-MAR-23","DENTON","TX","DENTON MUNI","","","","","","","","","","","","0","0","","","","","","12","","",""
"20230314013269A","14-MAR-23","GRAFORD","TX","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230315002779I","15-MAR-23","HOUSTON","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","","","","","","","","","","","","0","0","","","","","","1720","","",""
"20230315004899I","15-MAR-23","ANCHORAGE","AK","","","","","","","","","","","","","0","0","","","","","","189","","5",""
"20230315007409I","15-MAR-23","ANGOLA","IN","TRI-STATE STEUBEN COUNTY","","","","","","","","","","","","0","0","","","","","","750","632","2",""
"20230315007489A","15-MAR-23","SPANISH FORK","UT","SPANISH FORK-SPRINGVILLE","","","","","","","","","","","","0","0","","","","","","24500","164","4",""
"20230315019749I","15-MAR-23","ATLANTA","GA","FULTON COUNTY AIRPORT-BROWN FIELD","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","27","27","27",""
"20230316002349A","16-MAR-23","CLEVELAND","TN","CLEVELAND REGIONAL JETPORT","","","","","","","","","","","","0","0","","","","","","5277","","",""
"20230316002649I","16-MAR-23","ANCHORAGE","AK","","","","","","","","","","","","","0","0","","","","","","10500","","",""
"20230316003779I","16-MAR-23","JACKSONVILLE","FL","JACKSONVILLE EXECUTIVE AT CRAIG","","","","","","","","","","","","0","0","","","","","","","","",""
"20230316003789A","16-MAR-23","MINTO","AK","MINTO AL WRIGHT","","","","","","","","","","","","0","0","","","","","","3679","","",""
"20230316020949I","16-MAR-23","WHITE PLAINS","NY","WESTCHESTER COUNTY","","","","","","","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230317001769A","17-MAR-23","LUBBOCK","TX","TOWN & COUNTRY AIRPARK","","","","","","","","","","","","1","0","","","","","","920","","",""
"20230317002429I","17-MAR-23","CHATTANOOGA","TN","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230317003009I","17-MAR-23","HONOLULU","HI","HONOLULU INTL","","","","","","","GALVIN FLIGHT SERVICES HAWAII","","PILOT SCHOOLS","","","0","0","","","","","","1183","","",""
"20230317003799I","17-MAR-23","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","","","","","","","","","","","","0","0","","","","","","554","50","3",""
"20230317004749A","17-MAR-23","FORT MOHAVE","AZ","SUN VALLEY","","","","","","","","","","","","0","0","","","","","","104","","44",""
"20230317005679A","17-MAR-23","CINCINNATI","OH","CINCINNATI MUNI AIRPORT LUNKEN FIELD","","","","","","","","","","","","0","0","","","","","","15000","","",""
"20230317005979A","17-MAR-23","SHOREHAM","NY","BROOKHAVEN","","","","","","","","","","","","0","0","","","","","","641","","",""
"20230317007732A","17-MAR-23","MESA","AZ","FALCON FLD","","","","","","","","","","","","0","1","","","","","","16000","250","30",""
"20230317022339A","17-MAR-23","WINNEMUCCA","NV","WINNEMUCCA MUNI","","","","","","","","","","","","0","0","","","","","","115","24","26",""
"20230318002089I","18-MAR-23","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","","","","","","","","","","","","0","0","","","","","","965","773","41",""
"20230318003169I","18-MAR-23","VAN NUYS","CA","VAN NUYS","","","","","","","","","","","","0","0","","","","","","42","42","18",""
"20230318003179A","18-MAR-23","SANTA YNEZ","CA","SANTA YNEZ","","","","","","","","","","","","0","1","","","","","","2031","","",""
"20230318007959I","18-MAR-23","SANDPOINT","ID","SANDPOINT","","","","","","","","","","","","0","0","","","","","","1000","271","1",""
"20230318011069A","18-MAR-23","CEDAR MILLS","TX","CEDAR MILLS","","","","","","","","","","","","0","1","","","","","","300","20","3",""
"20230318013899I","18-MAR-23","FITZGERALD","GA","FITZGERALD MUNI","","","","","","","","","PARACHUTE JUMPING","","","1","0","","","","","","","578","",""
"20230318021049I","18-MAR-23","FREDERICK","MD","FREDERICK MUNI","","","","","","","","","","","","0","0","","","","","","2456","","",""
"20230319001749I","19-MAR-23","CRAWFORDSVILLE","IN","","","","","","","","AIR METHODS CORP","","","","","0","0","","","","","","3000","","",""
"20230319002689A","19-MAR-23","SANFORD","NC","RALEIGH EXEC JETPORT AT SANFORD-LEE COUNTY","","","","","","","","","","","","0","0","","","","","","142","82","46",""
"20230319002949I","19-MAR-23","CRESTVIEW","FL","BOB SIKES","","","","","","","","","","","","0","0","","","","","","815","29","1",""
"20230319003229I","19-MAR-23","SPRINGDALE","AR","SPRINGDALE MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230319003639A","19-MAR-23","BETHANY","OK","WILEY POST","","","","","","","","","","","","0","0","","","","","","1300","35","17",""
"20230319003809I","19-MAR-23","IDAHO FALLS","ID","IDAHO FALLS RGNL","","","","","","","","","","","","0","0","","","","","","1022","80","",""
"20230319004789I","19-MAR-23","TRENTON","NJ","TRENTON MERCER","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1125","80","37",""
"20230319005419I","19-MAR-23","MESQUITE","TX","MESQUITE METRO","","","","","","","","","","","","0","0","","","","","","3000","","",""
"20230319007069A","19-MAR-23","MAPLE LAKE","MN","MAPLE LAKE MUNI","","","","","","","","","","","","0","0","","","","","","74","74","23",""
"20230319010529I","19-MAR-23","NASHVILLE","TN","NASHVILLE INTL","","","","","","","ALASKA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","3457","","",""
"20230319013879I","19-MAR-23","LAGRANGE","GA","","","","","","","","","","","","","0","0","","","","","","1200","40","15",""
"20230320002909I","20-MAR-23","SULLIVAN","IN","SULLIVAN COUNTY","","","","","","","","","","","","0","0","","","","","","96","96","6",""
"20230320004349I","20-MAR-23","DENVER","CO","DENVER INTL","","","","","","","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","1","","","","","","","","",""
"20230320005569I","20-MAR-23","ALLENTOWN","PA","LEHIGH VALLEY INTL","","","","","","","","","","","","0","0","","","","","","3615","84","28",""
"20230320006779A","20-MAR-23","ABBEVILLE","SC","ABBEVILLE","","","","","","","","","","","","0","0","","","","","","849","11","14",""
"20230320013212I","20-MAR-23","INDIAN TRAIL","NC","GOOSE CREEK","","","","","","","","","","","","0","0","","","","","","422","171","9",""
"20230320015729I","20-MAR-23","COLUMBUS","GA","COLUMBUS","","","","","","","","","","","","0","0","","","","","","5600","200","1",""
"20230320021069I","20-MAR-23","BANGOR","ME","BANGOR INTL","","","","","","","ALLEGIANT AIR","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230321002379I","21-MAR-23","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","","","","","","","","","","","","0","0","","","","","","756","","",""
"20230321002479A","21-MAR-23","LIVONIA","NY","","","","","","","","","","","","","0","0","","","","","","465","460","",""
"20230321002629A","21-MAR-23","CASPER","WY","","","","","","","","","","","","","1","0","","","","","","2000","","",""
"20230321002719I","21-MAR-23","RICHMOND","KY","","","","","","","","AIR EVAC EMS INC","","","","","0","0","","","","","","2500","125","36",""
"20230321003819I","21-MAR-23","MORRISVILLE","NC","RALEIGH-DURHAM INTL","","","","","","","","","","","","0","0","","","","","","11000","","",""
"20230321014429A","21-MAR-23","CINCINNATI","OH","CINCINNATI MUNI AIRPORT LUNKEN FIELD","","","","","","","","","","","","0","0","","","","","","14000","4000","30",""
"20230322003159A","22-MAR-23","TOUGHKENAMON","PA","NEW GARDEN","","","","","","","","","","","","0","0","","","","","","217","110","4",""
"20230322004829I","22-MAR-23","HARRISBURG","PA","HARRISBURG INTL","","","","","","","","","","","","0","1","","","","","","","","",""
"20230322006649A","22-MAR-23","HOUSTON","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","14295","6023","216",""
"20230322006839A","22-MAR-23","UMATILLA","FL","","","","","","","","","","","","","0","0","","","","","","990","","",""
"20230323002869I","23-MAR-23","PHOENIX","AZ","PHOENIX GOODYEAR","","","","","","","WESTWIND SCHOOL OF AERONAUTICS","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20230323003829I","23-MAR-23","OKEECHOBEE","FL","OKEECHOBEE COUNTY","","","","","","","","","","","","0","0","","","","","","1219","635","13",""
"20230323004849A","23-MAR-23","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","","","","0","0","","","","","","1800","","",""
"20230323007689I","23-MAR-23","SCOTTSDALE","AZ","","","","","","","","","","","","","0","0","","","","","","4040","39","19",""
"20230323018749A","23-MAR-23","","SC","","","","","","","","","","","","","0","0","","","","","","20000","","",""
"20230324003219A","24-MAR-23","","KY","","","","","","","","","","","","","0","0","","","","","","8700","125","110",""
"20230324004249I","24-MAR-23","WATERFORD","MI","OAKLAND COUNTY INTL","","","","","","","CROSSWINDS AVIATION","","PILOT SCHOOLS","","","0","0","","","","","","55","55","",""
"20230324009019A","24-MAR-23","SALTILLO","","","","","","","","","USA JET AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","156",""
"20230324009729A","24-MAR-23","PERRIS","CA","FRENCH VALLEY","","","","","","","","","","","","2","0","","","","","","","","",""
"20230325003209I","25-MAR-23","WICHITA","KS","COLONEL JAMES JABARA","","","","","","","","","","","","0","0","","","","","","2230","300","161",""
"20230325003839A","25-MAR-23","HILLSBORO","MO","","","","","","","","","","","","","0","1","","","","","","600","20","10",""
"20230325004579A","25-MAR-23","JOHNS ISLAND","SC","","","","","","","","","","","","","1","0","","","","","","740","","",""
"20230325006149I","25-MAR-23","EAU CLAIRE","WI","CHIPPEWA VALLEY RGNL","","","","","","","","","","","","0","0","","","","","","3498","","",""
"20230325007239I","25-MAR-23","RIDGELAND","SC","RIDGELAND","","","","","","","","","","","","0","0","","","","","","12000","75","",""
"20230325011469I","25-MAR-23","CARTERSVILLE","GA","CARTERSVILLE","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20230325013869A","25-MAR-23","GAINESVILLE","GA","LEE GILMER MEMORIAL","","","","","","","","","","","","1","0","","","","","","","","",""
"20230326002079I","26-MAR-23","CHARLESTON","SC","CHARLESTON AFB/INTL","","","","","","","ENDEAVOR AIR","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230326003629I","26-MAR-23","SAN DIEGO","CA","BROWN FIELD MUNI","","","","","","","","","","","","0","0","","","","","","695","200","22",""
"20230326003849A","26-MAR-23","ERWINVILLE","LA","BATON ROUGE METROPOLITAN, RYAN FIELD","","","","","","","","","","","","2","0","","","","","","1700","1500","60",""
"20230326007599A","26-MAR-23","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","","","","0","1","","","","","","357","","",""
"20230327002339I","27-MAR-23","MURFREESBORO","TN","MURFREESBORO MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","8","","",""
"20230327003859A","27-MAR-23","RIGBY","ID","RIGBY-JEFFERSON COUNTY","","","","","","","","","","","","0","0","","","","","","3945","8","42",""
"20230327003869A","27-MAR-23","MATTITUCK","NY","MATTITUCK","","","","","","","","","","","","0","0","","","","","","600","500","3",""
"20230327003879I","27-MAR-23","LAKELAND","FL","LAKELAND LINDER RGNL","","","","","","","","","","","","0","0","","","","","","1200","","",""
"20230327004589I","27-MAR-23","CHARLESTON","SC","CHARLESTON EXECUTIVE","","","","","","","","","","","","0","0","","","","","","1006","","",""
"20230327005949A","27-MAR-23","BETHANY","OK","WILEY POST","","","","","","","","","","","","0","0","","","","","","13303","3","3",""
"20230329002399A","29-MAR-23","BOKCHITO","OK","","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","","","",""
"20230329003109A","29-MAR-23","LINCOLN","IL","LOGAN COUNTY","","","","","","","","","","","","0","0","","","","","","186","102","1",""
"20230329005249I","29-MAR-23","MC KINNEY","TX","COLLIN COUNTY RGNL AT MC KINNEY","","","","","","","","","","","","0","0","","","","","","1274","53","30",""
"20230329005629A","29-MAR-23","CLARKSVILLE","TN","OUTLAW FIELD","","","","","","","","","PILOT SCHOOLS","","","0","1","","","","","","320","200","40",""
"20230329007759I","29-MAR-23","MOBILE","AZ","MOBILE","","","","","","","","","","","","0","0","","","","","","2600","","",""
"20230329009769A","29-MAR-23","LAKELAND","FL","LAKELAND LINDER RGNL","","","","","","","","","","","","0","0","","","","","","4510","","",""
"20230330002109I","30-MAR-23","RALEIGH","NC","RALEIGH-DURHAM INTL","","","","","","","PINNACLE AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230330003679A","30-MAR-23","TELLURIDE","CO","TELLURIDE RGNL","","","","","","","","","","","","0","0","","","","","","1056","137","9",""
"20230330003889A","30-MAR-23","GULF OF MEXICO","","","","","","","","","","","","","","0","0","","","","","","5670","","",""
"20230330007369A","30-MAR-23","DETROIT","MI","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230330017889A","30-MAR-23","OXFORD","MS","","","","","","","","","","","","","1","0","","","","","","385","","",""
"20230331002329I","31-MAR-23","MADERA","CA","MADERA MUNI","","","","","","","","","","","","0","0","","","","","","3000","","",""
"20230331003899I","31-MAR-23","LUTZ","FL","TAMPA NORTH AERO PARK","","","","","","","","","","","","0","0","","","","","","2772","408","8",""
"20230331005089A","31-MAR-23","LEESBURG","FL","LEESBURG INTL","","","","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","","0","0","","","","","","1322","273","227",""
"20230401003259I","01-APR-23","LITTLE ROCK","AR","ADAMS FIELD","","","","","","","","","","","","0","0","","","","","","3720","","",""
"20230401004959I","01-APR-23","BIRCHWOOD","AK","BIRCHWOOD","","","","","","","","","","","","0","0","","","","","","190","50","17",""
"20230401008269A","01-APR-23","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","","","","","","","","","","","","0","0","","","","","","890","","",""
"20230401020889A","01-APR-23","WALL TOWN","NJ","MONMOUTH EXECUTIVE","","","","","","","","","","","","0","0","","","","","","13000","750","180",""
"20230402003909A","02-APR-23","","OR","","","","","","","","","","","","","2","0","","","","","","58","","",""
"20230402004949A","02-APR-23","WASILLA","AK","WASILLA","","","","","","","","","","","","0","0","","","","","","2136","67","1",""
